time,temperature_2m (°C),wind_speed_10m (km/h),precipitation (mm),cloud_cover (%),visibility (m)
2025-01-01T00:00,4.7,4.6,0,99,20100
2025-01-01T01:00,3.5,4,0,95,20000
2025-01-01T02:00,2,6.5,0,98,17900
2025-01-01T03:00,1.7,5.5,0,4,14700
2025-01-01T04:00,3.6,12.2,0,99,14000
2025-01-01T05:00,4.1,11.3,0,100,13400
2025-01-01T06:00,6.1,19.3,0,100,14900
2025-01-01T07:00,7.2,18.1,0,100,11400
2025-01-01T08:00,6.7,14.6,5.2,100,4800
2025-01-01T09:00,7.3,15.8,4,99,12600
2025-01-01T10:00,7.2,15,1.5,100,12200
2025-01-01T11:00,7.6,13,0,100,12200
2025-01-01T12:00,7.5,10.4,6.6,100,13100
2025-01-01T13:00,7.3,8.2,1,100,7500
2025-01-01T14:00,7.3,7.4,0.4,100,200
2025-01-01T15:00,7.6,7.2,0.2,100,2000
2025-01-01T16:00,7.7,10.3,0,100,3200
2025-01-01T17:00,8.4,11.6,0,100,12600
2025-01-01T18:00,7.8,9,0,100,3200
2025-01-01T19:00,7.1,13.7,0,100,12400
2025-01-01T20:00,6.8,15.5,0,100,13500
2025-01-01T21:00,6.8,9.8,0,100,14300
2025-01-01T22:00,5.9,7.6,0,40,14500
2025-01-01T23:00,6.3,7.6,0,99,14500
2025-01-02T00:00,6.4,19.1,0,99,19000
2025-01-02T01:00,5.8,19.6,0.1,100,18800
2025-01-02T02:00,4.7,22.3,0,100,22000
2025-01-02T03:00,3.9,20.4,0,91,20100
2025-01-02T04:00,3.4,20.3,0,100,21000
2025-01-02T05:00,3.1,24.5,0,23,23100
2025-01-02T06:00,2.5,25.2,0,13,23600
2025-01-02T07:00,2.5,23.4,0,39,24600
2025-01-02T08:00,2.2,24.1,0,37,28300
2025-01-02T09:00,1.8,24,0,39,30000
2025-01-02T10:00,1.2,23.2,0,13,32000
2025-01-02T11:00,1,22.3,0,57,35600
2025-01-02T12:00,0.9,24.7,0,17,42400
2025-01-02T13:00,1,25.4,0,1,42500
2025-01-02T14:00,2,25.9,0,0,42800
2025-01-02T15:00,3.2,28.7,0,0,46200
2025-01-02T16:00,4.3,30.3,0,0,49000
2025-01-02T17:00,5.2,33.6,0,3,55900
2025-01-02T18:00,5.9,34.5,0,0,62200
2025-01-02T19:00,6.3,36.5,0,3,64100
2025-01-02T20:00,5.5,32.1,0,98,60500
2025-01-02T21:00,4.1,32.8,0,0,49200
2025-01-02T22:00,3.1,30,0,11,43500
2025-01-02T23:00,1.8,29.1,0,0,27800
2025-01-03T00:00,2,24.1,0,0,42400
2025-01-03T01:00,1.4,25.5,0,0,38400
2025-01-03T02:00,1.2,28.4,0,0,40700
2025-01-03T03:00,0.8,23.3,0,0,39600
2025-01-03T04:00,0.8,22.1,0,0,45300
2025-01-03T05:00,0.4,20.2,0,0,43600
2025-01-03T06:00,0,22.5,0,0,40600
2025-01-03T07:00,-0.2,24.8,0,0,40000
2025-01-03T08:00,-0.6,21.9,0,0,39600
2025-01-03T09:00,-0.4,24.5,0,0,40900
2025-01-03T10:00,-0.5,18.9,0,0,42300
2025-01-03T11:00,-0.5,21.4,0,4,44300
2025-01-03T12:00,-0.3,20.6,0,4,49300
2025-01-03T13:00,-0.1,16.1,0,2,42700
2025-01-03T14:00,1.3,21.9,0,2,41300
2025-01-03T15:00,2.2,29.3,0,99,47900
2025-01-03T16:00,2.9,29.5,0,37,47600
2025-01-03T17:00,3.5,30.1,0,45,51500
2025-01-03T18:00,3.3,28.5,0,45,51900
2025-01-03T19:00,3.3,28,0,40,53400
2025-01-03T20:00,2.8,26.8,0,18,52700
2025-01-03T21:00,1.8,21.7,0,12,55700
2025-01-03T22:00,0.6,13.9,0,1,53400
2025-01-03T23:00,-0.3,9.8,0,2,48300
2025-01-04T00:00,-0.7,12.5,0,0,48900
2025-01-04T01:00,-1,10,0,0,46900
2025-01-04T02:00,-1.1,11.8,0,0,45300
