travel_time_sec,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),wind_speed_10m (km/h),bias
437,7,3,89,1800,20.3,1
454,7,3,89,1800,20.3,1
628,7.3,0,94,12600,15.8,1
478,7.3,0,94,12600,15.8,1
550,7.2,0,94,12200,12.2,1
434,7.2,0,94,12200,12.2,1
478,7.5,0,92,13100,10.4,1
512,7.4,0.1,95,12200,9.7,1
533,7.6,0,96,2000,7.2,1
556,7.6,0,96,2000,7.2,1
514,8.1,0,95,12200,10.9,1
472,8.1,0,95,12200,10.9,1
522,7.8,0,95,3200,9,1
516,7.8,0,95,3200,9,1
739,6.9,0,93,13600,15.2,1
761,6.9,0,93,13600,15.2,1
481,6.6,0,89,14600,9.6,1
503,6.6,0,89,14600,9.6,1
464,5.9,0,89,15300,10.7,1
485,5.9,0,89,15300,10.7,1
446,6.4,0,79,19000,19.1,1
442,6.4,0,79,19000,19.1,1
460,6.9,2.1,91,2500,23.9,1
446,7,1,94,3700,13.2,1
454,7.3,0,93,12200,10.3,1
497,7.4,0.3,93,12100,14.2,1
479,7.2,0,95,12200,11.4,1
502,7.4,0,96,12200,4.7,1
418,7.3,0,95,12500,13.2,1
458,6.3,0.1,79,17600,18,1
486,6.9,0,86,16500,21.2,1
486,6.7,0,92,4800,14.6,1
476,6.9,0,94,12200,14.3,1
463,7.6,0,93,12200,13,1
461,7.6,0,93,12200,13,1
469,7.3,0.1,93,12300,13.3,1
465,7.3,0,95,200,7.4,1
513,7.8,0,96,12200,6,1
500,8.4,0,95,12600,11.6,1
465,7.2,0,95,12500,13.7,1
514,6.8,0,92,13500,15.5,1
540,6,0,88,14100,7.6,1
490,6.3,0,89,14500,7.6,1
484,5.8,0,79,18800,18.9,1
450,7.3,0,86,17100,23.9,1
428,7.3,0,86,17100,23.9,1
461,6.9,1.4,93,3100,23.6,1
429,6.9,1.4,93,3100,23.6,1
469,7.1,0.5,94,6600,14.4,1
480,7.3,0.6,94,5000,13.2,1
450,7.3,0.6,94,5000,13.2,1
495,7.3,0,95,300,5.5,1
458,7.3,0,95,300,5.5,1
611,7.7,0,96,400,7,1
496,7.7,0,96,400,7,1
485,7.8,0,95,12200,11.3,1
474,7.8,0,95,12200,11.3,1
499,7,0,95,12400,14.1,1
450,7,0,95,12400,14.1,1
500,6.6,0,91,13200,13.4,1
491,5.7,0,87,13800,7.6,1
437,5.7,0,87,13800,7.6,1
499,6.3,0,87,14400,9.7,1
468,6.3,0,87,14400,9.7,1
451,5.7,0,80,18600,17.8,1
475,5.8,0,88,14600,9.4,1
481,7.2,0.5,93,5300,11.6,1
488,6.8,0,91,13600,13.7,1
528,6.8,0,91,13600,13.7,1
492,7.2,0,86,11400,18.1,1
470,7.1,2.4,93,2200,27.8,1
485,7.2,0,94,12200,15,1
453,7.3,0.1,92,11500,13.2,1
462,7.3,0,95,7500,8.2,1
1184,7.4,0.1,96,300,6.9,1
511,7.7,0,96,3200,10.3,1
453,7.8,0,95,12300,12.3,1
455,7.1,0,95,12400,13.7,1
624,5.9,0,87,14500,7.6,1
544,6.4,0,84,16100,14.8,1
465,7.1,0.1,87,16200,20.6,1
485,7.3,0.2,94,9100,26.4,1
498,7.2,0,94,12200,9.9,1
471,7.4,6,92,1200,5.8,1
445,7.4,6,92,1200,5.8,1
461,7.4,0.3,95,6500,9.2,1
447,7.4,0.3,95,6500,9.2,1
1045,7.4,0.1,96,900,4.2,1
518,7.6,0,96,12200,9.2,1
527,7.8,0,95,12500,12.2,1
444,6.8,0,94,13100,13.7,1
527,5.6,0,87,14200,8.4,1
526,6,0,81,16700,17,1
524,8.1,0,96,12200,10.2,1
526,6.8,0,94,13100,15.5,1
503,6.8,0,90,14300,9.8,1
442,6.7,0,86,17300,17.7,1
452,6.7,0,86,17300,17.7,1
455,6.8,0,91,13700,12.6,1
471,2.5,0,71,23600,25.2,1
479,2.5,0,71,23600,25.2,1
442,2.5,0,71,23600,25.2,1
456,1.8,0,62,30000,24,1
490,1.8,0,62,30000,24,1
459,2.3,0,71,21600,22.3,1
453,2.3,0,71,21600,22.3,1
463,2.3,0,71,21600,22.3,1
469,1.1,0,61,27800,23.4,1
445,1.1,0,61,27800,23.4,1
479,1.1,0,61,27800,23.4,1
473,1.7,0,65,23600,24,1
479,1.7,0,65,23600,24,1
483,1.7,0,65,23600,24,1
433,2,0,71,21500,22.2,1
470,2,0,71,21500,22.2,1
502,0.9,0,61,27200,23.2,1
453,0.9,0,61,27200,23.2,1
434,2.2,0,64,28300,24.1,1
462,2.2,0,64,28300,24.1,1
480,1.8,0,71,21700,22.7,1
520,1.8,0,71,21700,22.7,1
498,1.8,0,71,21700,22.7,1
451,0.7,0,60,26900,23.2,1
481,0.7,0,60,26900,23.2,1
481,1.6,0,63,26700,23.2,1
512,1.6,0,63,26700,23.2,1
483,2.5,0,70,24600,23.4,1
452,2.5,0,70,24600,23.4,1
443,2.5,0,70,24600,23.4,1
586,1.3,0,63,25600,22.1,1
535,1.3,0,63,25600,22.1,1
485,1.3,0,63,25600,22.1,1
497,2,0,69,23200,22.4,1
489,2,0,69,23200,22.4,1
459,1.2,0,62,25200,21.7,1
487,1.2,0,62,25200,21.7,1
483,1.2,0,62,25200,21.7,1
484,0.5,0,53,32000,22.4,1
668,0.5,0,53,32000,22.4,1
697,0.5,0,53,32000,22.4,1
508,1.2,0,59,32000,23.2,1
565,1.2,0,59,32000,23.2,1
506,0.3,0,51,30100,21.1,1
479,0.2,0,49,29200,20.5,1
480,0.2,0,49,29200,20.5,1
467,0.7,0,58,28800,21.5,1
506,0.7,0,58,28800,21.5,1
480,0.9,0,47,42400,24.7,1
485,0.9,0,47,42400,24.7,1
